"Group.1","DISTANCE","DELAYED","TOTAL"
"10135",142551,69,239
"10136",31758,39,201
"10140",1325528,687,1816
"10141",18247,16,71
"10146",12615,20,87
"10154",4816,13,28
"10155",13172,14,148
"10157",30500,37,122
"10158",207638,49,248
"10165",10728,5,9
"10170",7843,6,31
"10185",96255,62,282
"10208",31889,39,223
"10257",505623,161,734
"10268",13338,4,57
"10279",130549,78,307
"10299",1634940,290,1234
"10333",10494,4,53
"10372",22063,7,59
"10397",20829475,9673,32588
"10408",70832,66,260
"10423",3215509,1306,4021
"10431",95649,92,284
"10434",66909,39,113
"10469",14744,13,121
"10529",1397525,447,1714
"10551",33516,22,84
"10561",90121,30,183
"10577",23436,10,62
"10581",18777,6,27
"10599",583814,308,1146
"10620",132302,28,264
"10627",174225,66,339
"10631",12338,3,62
"10685",99734,27,238
"10693",2991877,1358,4477
"10713",732800,278,1160
"10721",9862447,3298,10164
"10728",23490,17,87
"10731",20230,23,85
"10732",129906,39,96
"10739",6042,6,53
"10747",78840,26,204
"10754",41944,23,81
"10779",22196,6,62
"10781",237447,188,659
"10785",149972,84,348
"10792",908933,336,1593
"10800",812536,415,1768
"10821",6041662,3460,8022
"10849",196381,44,335
"10868",209422,110,434
"10874",262698,99,491
"10918",11713,6,53
"10926",11563,13,62
"10980",111357,91,417
"10990",109934,55,237
"10994",653464,310,1207
"11003",204942,95,532
"11013",16188,6,57
"11042",2244741,799,3224
"11049",29552,32,223
"11057",6707889,3034,9572
"11066",1494346,508,2188
"11067",45077,20,206
"11076",22320,9,62
"11097",9238,14,31
"11109",355883,139,610
"11111",49533,16,123
"11122",38850,25,138
"11140",88341,88,366
"11146",100245,64,224
"11150",9296,27,112
"11193",1320461,432,1919
"11203",30885,18,145
"11252",43554,22,119
"11259",4093352,2800,5930
"11267",357719,183,753
"11274",12789,9,87
"11278",5218397,1994,6819
"11292",16116081,6580,18136
"11298",16513623,6108,21044
"11308",20060,19,118
"11315",29341,4,61
"11337",60701,52,223
"11413",89585,31,178
"11423",413969,157,710
"11433",6908772,2708,9925
"11447",16277,8,49
"11471",16678,14,62
"11481",143498,50,376
"11503",2884,0,4
"11525",10600,2,53
"11537",78078,27,195
"11540",676037,299,1046
"11577",22686,8,57
"11587",16218,3,53
"11603",197719,65,328
"11612",133960,74,399
"11617",23815,11,55
"11618",10252275,3456,9622
"11624",83479,24,151
"11630",192477,29,177
"11637",249906,110,527
"11638",363700,121,656
"11641",49650,31,150
"11648",79015,12,123
"11695",18802,58,158
"11697",6085588,1901,5812
"11721",222580,75,413
"11775",182657,86,445
"11778",62684,26,180
"11823",171358,81,511
"11865",30551,15,88
"11867",25048,6,62
"11884",500318,159,828
"11898",25560,14,90
"11905",8260,9,59
"11921",151738,42,271
"11953",69858,53,234
"11973",121588,44,304
"11977",122424,87,489
"11980",31977,5,57
"11982",85055,53,371
"11986",357521,218,928
"11995",236923,127,598
"11996",296594,142,631
"12003",114155,23,190
"12007",21208,15,88
"12016",117831,8,31
"12094",2820,3,20
"12129",11888,18,84
"12156",78475,12,141
"12173",4709144,1062,3780
"12177",26553,8,53
"12191",3292539,2075,4718
"12197",623249,216,721
"12206",81465,62,287
"12217",119878,68,390
"12255",15794,6,53
"12264",4090499,946,2996
"12265",19034,10,22
"12266",10842388,4331,13211
"12278",391060,147,698
"12280",61548,33,201
"12323",68383,40,215
"12335",9776,5,58
"12339",1652538,625,2373
"12343",8276,5,53
"12389",144470,30,221
"12391",254213,139,366
"12402",154117,92,503
"12441",52344,35,158
"12448",257264,119,654
"12451",988006,427,1712
"12478",12260882,2841,8303
"12511",18966,4,58
"12519",19455,12,75
"12523",157911,111,336
"12758",878683,249,967
"12819",78709,55,186
"12884",44613,45,222
"12888",5989,16,53
"12889",12882069,4325,12688
"12891",17360,13,124
"12892",22508799,5763,17728
"12896",171566,113,436
"12898",115683,27,117
"12915",39930,14,198
"12945",210547,96,587
"12951",144769,89,431
"12953",6900240,2459,8590
"12954",566140,231,774
"12982",803261,274,881
"12992",523670,260,1048
"13029",132667,54,288
"13061",72313,34,203
"13076",28586,20,166
"13127",24433,4,53
"13158",274786,123,600
"13184",33223,39,142
"13198",2570919,985,3555
"13204",8529241,2694,9047
"13230",162008,57,285
"13232",6133745,3046,7617
"13241",18692,26,84
"13244",835443,359,1520
"13256",93415,35,238
"13264",131394,44,243
"13277",87223,65,309
"13290",69421,13,151
"13296",356156,160,577
"13303",6310690,1732,5958
"13342",1735097,685,2642
"13344",7316,19,62
"13360",51272,28,116
"13367",137465,54,308
"13377",95883,66,279
"13422",181956,88,437
"13433",115242,32,218
"13459",7878,6,26
"13476",72308,57,241
"13485",304188,140,838
"13486",105231,25,171
"13487",8324712,2614,10584
"13495",2736290,1000,3663
"13502",1176,0,6
"13541",1903,5,11
"13577",252917,142,507
"13795",44688,29,112
"13796",2937217,1542,4016
"13830",2134547,576,1823
"13851",996170,383,1641
"13871",991940,435,1501
"13873",31994,20,62
"13891",976822,536,1742
"13930",19760541,8534,27652
"13931",486008,263,914
