"YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","DIVERTED","CANCELLED","CANCELLATION_REASON","AIR_SYSTEM_DELAY","SECURITY_DELAY","AIRLINE_DELAY","LATE_AIRCRAFT_DELAY","WEATHER_DELAY","DURATION","DELAYED","TOTAL"
2015,1,1,4,"US",2013,"N584UW","LAX","CLT",30,44,14,13,57,273,249,228,2125,745,8,803,753,-10,0,0,"",0,0,0,0,0,709,1,1
2015,1,1,4,"DL",1173,"N826DN","LAS","ATL",30,33,3,12,45,221,203,186,1747,651,5,711,656,-15,0,0,"",0,0,0,0,0,623,1,1
2015,1,1,4,"NK",520,"N525NK","LAS","MCI",55,120,25,11,131,162,143,128,1139,539,4,537,543,6,0,0,"",0,0,0,0,0,423,1,1
2015,1,1,4,"NK",597,"N528NK","MSP","FLL",115,127,12,14,141,207,220,166,1487,527,40,542,607,25,0,0,"",25,0,0,0,0,480,1,1
2015,1,1,4,"AA",2392,"N3HRAA","DEN","MIA",120,141,21,12,153,227,208,188,1709,701,8,707,709,2,0,0,"",0,0,0,0,0,568,1,1
2015,1,1,4,"NK",168,"N629NK","PHX","ORD",125,237,72,9,246,204,175,156,1440,622,10,549,632,43,0,0,"",43,0,0,0,0,395,1,1
2015,1,1,4,"UA",1528,"N76519","SJU","EWR",154,157,3,12,209,255,241,220,1608,449,9,509,458,-11,0,0,"",0,0,0,0,0,301,1,1
2015,1,1,4,"B6",2134,"N307JB","SJU","MCO",400,535,95,9,544,185,175,163,1189,727,3,605,730,85,0,0,"",0,0,85,0,0,195,1,1
2015,1,1,4,"B6",730,"N621JB","BQN","MCO",419,423,4,11,434,174,163,148,1129,602,4,613,606,-7,0,0,"",0,0,0,0,0,183,1,1
2015,1,1,4,"B6",2276,"N646JB","SJU","BDL",438,550,72,15,605,241,258,237,1666,902,6,739,908,89,0,0,"",17,0,72,0,0,358,1,1
