"Group.1","DISTANCE","DELAYED","TOTAL"
"10135",142126,53,238
"10136",31758,41,201
"10140",1325665,676,1815
"10141",18247,21,71
"10146",12615,24,87
"10154",4816,8,28
"10155",13172,21,148
"10157",30500,30,122
"10158",207638,73,248
"10165",10728,0,9
"10170",7843,6,31
"10185",96255,78,282
"10208",31746,56,222
"10257",505134,239,733
"10268",13104,7,56
"10279",130513,77,307
"10299",1620596,357,1232
"10333",10494,5,53
"10372",22063,12,59
"10397",20841719,8101,32594
"10408",70832,41,260
"10423",3197053,1314,4014
"10431",95485,82,283
"10434",66909,21,113
"10469",14744,15,121
"10529",1398040,569,1715
"10551",33516,16,84
"10561",90121,46,183
"10577",23058,8,61
"10581",18384,9,26
"10599",583773,356,1146
"10620",131847,67,263
"10627",174611,78,340
"10631",12338,7,62
"10666",93,0,1
"10685",99734,58,238
"10693",2977034,1435,4479
"10713",734001,335,1163
"10721",9860279,3305,10161
"10728",23490,19,87
"10731",20230,33,85
"10732",132611,43,98
"10739",6042,8,53
"10747",78532,39,203
"10754",26423,17,81
"10779",22196,6,62
"10781",237447,170,659
"10785",150735,105,349
"10792",904087,479,1587
"10800",808959,496,1767
"10821",6034257,2688,8020
"10849",196381,82,335
"10868",209422,105,434
"10874",262024,139,490
"10918",11713,3,53
"10926",11563,18,62
"10980",111251,104,416
"10990",109934,63,237
"10994",653012,344,1207
"11003",184616,123,533
"11013",16188,10,57
"11042",2229669,926,3221
"11049",29388,37,222
"11057",6690478,2534,9573
"11066",1462872,622,2188
"11067",45077,45,206
"11076",22320,11,62
"11097",9238,3,31
"11109",355145,169,607
"11111",49533,37,123
"11122",39080,15,139
"11140",88494,104,366
"11146",100245,50,224
"11150",9296,34,112
"11193",1343400,489,1917
"11203",30672,23,144
"11252",43554,31,119
"11259",4091382,2041,5930
"11267",356840,195,753
"11274",12789,19,87
"11278",5227238,2060,6818
"11292",16083579,5697,18125
"11298",16490289,5216,21033
"11308",20060,31,118
"11315",29341,6,61
"11337",60701,44,223
"11413",89482,32,178
"11423",421414,166,710
"11433",6959853,2522,9913
"11447",3984,10,48
"11471",16678,12,62
"11481",142927,80,375
"11503",2163,2,3
"11525",10600,6,53
"11537",78078,30,195
"11540",674801,346,1045
"11577",22686,12,57
"11587",16218,3,53
"11603",197719,87,328
"11612",133960,87,399
"11617",23815,15,55
"11618",10301180,3421,9656
"11624",83479,35,151
"11630",199979,48,177
"11637",249683,122,526
"11638",365541,147,657
"11641",49650,29,150
"11648",79015,17,123
"11695",18802,38,158
"11697",6095097,2347,5820
"11721",222357,106,412
"11775",182279,95,444
"11778",62684,48,180
"11823",171358,95,511
"11865",30551,13,88
"11867",25048,13,62
"11884",501263,253,829
"11898",25276,16,89
"11905",8400,8,60
"11921",151738,50,271
"11953",69858,57,234
"11973",121436,58,303
"11977",122137,104,488
"11980",31977,10,57
"11982",84889,62,370
"11986",350225,243,927
"11995",235918,145,595
"11996",296027,168,630
"12003",114155,34,190
"12007",21208,21,88
"12016",117831,17,31
"12094",2820,8,20
"12129",11888,13,84
"12156",78475,34,141
"12173",4709054,1239,3780
"12177",26553,12,53
"12191",3298244,1673,4717
"12197",622535,239,720
"12206",81170,82,286
"12217",119878,79,390
"12255",15794,10,53
"12264",4075392,946,3000
"12265",19034,8,22
"12266",10846982,3778,13227
"12278",394818,160,698
"12280",61548,34,201
"12323",68383,48,215
"12335",9709,9,57
"12339",1648574,710,2378
"12343",8276,10,53
"12389",143894,35,220
"12391",254213,166,366
"12402",154333,101,504
"12441",51297,52,157
"12448",257264,151,654
"12451",987138,595,1710
"12478",12221383,2844,8285
"12511",18966,10,58
"12519",29745,13,75
"12523",157911,88,336
"12758",878861,284,967
"12819",78709,57,186
"12884",45142,50,224
"12888",5989,12,53
"12889",12897983,4493,12702
"12891",17360,24,124
"12892",22533824,6156,17739
"12896",171284,157,435
"12898",115683,34,117
"12915",39930,32,198
"12945",210259,132,586
"12951",144970,99,432
"12953",6883466,2823,8570
"12954",567105,280,775
