"IATA_CODE","AIRPORT","CITY","STATE","COUNTRY","LATITUDE_ARRIVAL","LONGITUDE_ARRIVAL","IATA_CODE.y","LATITUDE_ORIGIN","LONGITUDE_ORIGIN"
"ABE","Lehigh Valley International Airport","Allentown","PA","USA",40.65236,-75.4404,"DTW",42.21206,-83.34884
"ABE","Lehigh Valley International Airport","Allentown","PA","USA",40.65236,-75.4404,"CHS",32.89865,-80.04051
"ABE","Lehigh Valley International Airport","Allentown","PA","USA",40.65236,-75.4404,"ORD",41.9796,-87.90446
"ABE","Lehigh Valley International Airport","Allentown","PA","USA",40.65236,-75.4404,"ATL",33.64044,-84.42694
"ABI","Abilene Regional Airport","Abilene","TX","USA",32.41132,-99.6819,"DFW",32.89595,-97.0372
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"ORD",41.9796,-87.90446
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"SFO",37.619,-122.37484
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"MSP",44.88055,-93.21692
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"MCO",28.42889,-81.31603
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"PDX",45.58872,-122.5975
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"SAN",32.73356,-117.18966
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"MCI",39.29761,-94.71391
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"IAH",29.98047,-95.33972
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"LAX",33.94254,-118.40807
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"BWI",39.1754,-76.6682
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"DFW",32.89595,-97.0372
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"PHX",33.43417,-112.00806
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"DAL",32.84711,-96.85177
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"MDW",41.78598,-87.75242
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"JFK",40.63975,-73.77893
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"ATL",33.64044,-84.42694
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"LAS",36.08036,-115.15233
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"CLT",35.21401,-80.94313
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"SLC",40.78839,-111.97777
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"OAK",37.72129,-122.22072
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"DEN",39.85841,-104.667
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"SEA",47.44898,-122.30931
"ABQ","Albuquerque International Sunport","Albuquerque","NM","USA",35.04022,-106.60919,"HOU",29.64542,-95.27889
"ABR","Aberdeen Regional Airport","Aberdeen","SD","USA",45.44906,-98.42183,"MSP",44.88055,-93.21692
"ABY","Southwest Georgia Regional Airport","Albany","GA","USA",31.53552,-84.19447,"ATL",33.64044,-84.42694
"ACK","Nantucket Memorial Airport","Nantucket","MA","USA",41.25305,-70.06018,"BOS",42.36435,-71.00518
"ACK","Nantucket Memorial Airport","Nantucket","MA","USA",41.25305,-70.06018,"JFK",40.63975,-73.77893
"ACK","Nantucket Memorial Airport","Nantucket","MA","USA",41.25305,-70.06018,"DCA",38.85208,-77.03772
"ACT","Waco Regional Airport","Waco","TX","USA",31.61129,-97.23052,"DFW",32.89595,-97.0372
"ACV","Arcata Airport","Arcata/Eureka","CA","USA",40.97812,-124.10862,"SFO",37.619,-122.37484
"ACY","Atlantic City International Airport","Atlantic City","NJ","USA",39.45758,-74.57717,"MYR",33.67975,-78.92833
"ACY","Atlantic City International Airport","Atlantic City","NJ","USA",39.45758,-74.57717,"PBI",26.68316,-80.09559
